NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR13474,Strata Solar Services,SERC,,,,,,GOP-2,,,,,,,,,,,
NCR13455,"Sugar Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR12007,SunEnergy1,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13302,"Sunnybrook Farm Solar, LLC",SERC,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR00073,"Tallahassee, City of",SERC,BA,DP,GO-1,,GOP-1,,PCPA,,RP,,TO,TOP,TP,TSP,,,
NCR00074,Tampa Electric Company,SERC,BA,DP,GO-1,GO-2,GOP-1,GOP-2,PCPA,,RP,,TO,TOP,TP,TSP,,,
NCR03043,TEE Contingency Reserve Sharing Group,SERC,,,,,,,,,,RSG,,,,,,,
NCR11995,"Tenaska Clear Creek Wind, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR00632,"Tenaska Frontier Partners, Ltd",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01337,"Tenaska Georgia Partners, L.P.",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01339,"Tenaska Virginia Partners, L.P.",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01151,Tennessee Valley Authority,SERC,BA,DP,GO-1,,GOP-1,,PCPA,RC,RP,,TO,TOP,TP,TSP,,,
NCR01152,Terrebonne Parish Consolidated Government,SERC,,DP,,,,,,,,,,,,,,,
NCR13241,Tilden Solar LLC,SERC,,,GO-1,,,,,,,,,,,,,,
NCR11014,"Tilton Energy, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13010,"Timbermill Wind, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12304,"TN Solar 1, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR01348,Town of Sharpsburg,SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR01349,Town of Stantonsburg,SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR01350,Town of Waynesville,SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR12130,"Trent River Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13294,"Turkey Creek Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR12024,"TWE Bowman Solar Project, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12008,"Twiggs County Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12380,"Umbriel Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13035,Unbridled Solar LLC,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01356,USACE - Charleston District,SERC,,,GO-1,,GOP-1,,,,,,TO,,,,,,
NCR11109,USACE - Fort Worth District,SERC,,,GO-1,,GOP-1,,,,,,TO,,,,,,
NCR01359,USACE - Mobile District,SERC,,,GO-1,,GOP-1,,,,,,TO,TOP,,,,,
NCR01360,USACE - Nashville District,SERC,,,GO-1,,GOP-1,,,,,,TO,,,,,,
NCR01361,USACE - Savannah District,SERC,,,GO-1,,GOP-1,,,,,,TO,TOP,,,,,
NCR01364,USACE - Wilmington District,SERC,,,GO-1,,GOP-1,,,,,,TO,,,,,,
NCR01365,VACAR South,SERC,,,,,,,,RC,,,,,,,,,
